32125, the Ville, house_1, bedroom_1
32224, the Ville, house_13, bedroom_1
32225, the Ville, two_bedroom_house_1, common room
32226, the Ville, music_studio_house, bathroom_1
32227, the Ville, house_13, bedroom_2
32228, the Ville, house_13, bedroom_3
32229, the Ville, house_13, bedroom_4
32230, the Ville, single_home_1, bedroom
32231, the Ville, single_home_2, bedroom
32232, the Ville, single_home_3, bedroom
32233, the Ville, single_home_4, bedroom
32234, the Ville, single_home_5, bedroom
32235, the Ville, two_bedroom_house_1, kitchen
32236, the Ville, music_studio_house, garden
32237, the Ville, apartment_unit_A, bedroom_1
32238, the Ville, apartment_unit_A, bedroom_2
32239, the Ville, apartment_unit_A, bedroom_3
32240, the Ville, apartment_unit_A, bedroom_4
32241, the Ville, apartment_unit_B, bedroom_1
32242, the Ville, apartment_unit_B, bedroom_2
32243, the Ville, apartment_unit_B, bedroom_3
32244, the Ville, apartment_unit_C, bedroom_1
32245, the Ville, two_bedroom_house_1, bathroom
32246, the Ville, two_bedroom_house_2, bedroom_1
32247, the Ville, apartment_unit_C, bedroom_2
32248, the Ville, apartment_unit_C, bedroom_3
32249, the Ville, apartment_unit_D, bedroom_1
32250, the Ville, apartment_unit_D, bedroom_2
32251, the Ville, apartment_unit_D, bedroom_3
32253, the Ville, house_1, bathroom_1
32254, the Ville, house_1, bathroom_2
32255, the Ville, two_bedroom_house_1, garden
32256, the Ville, two_bedroom_house_2, bedroom_2
32257, the Ville, house_2, bathroom_1
32258, the Ville, house_2, bathroom_2
32259, the Ville, house_3, bathroom_1
32260, the Ville, house_3, bathroom_2
32261, the Ville, house_4, bathroom_1
32262, the Ville, house_4, bathroom_2
32263, the Ville, house_5, bathroom_1
32264, the Ville, house_5, bathroom_2
32265, the Ville, music_studio_house, bedroom_1
32266, the Ville, two_bedroom_house_2, common room
32267, the Ville, house_6, bathroom_1
32268, the Ville, house_6, bathroom_2
32269, the Ville, house_7, bathroom_1
32270, the Ville, house_7, bathroom_2
32271, the Ville, house_8, bathroom_1
32272, the Ville, house_8, bathroom_2
32273, the Ville, house_9, bathroom_1
32274, the Ville, house_9, bathroom_2
32275, the Ville, music_studio_house, bedroom_2
32276, the Ville, two_bedroom_house_2, kitchen
32277, the Ville, house_10, bathroom_1
32278, the Ville, house_10, bathroom_2
32279, the Ville, house_11, bathroom_1
32280, the Ville, house_11, bathroom_2
32281, the Ville, house_12, bathroom_1
32282, the Ville, house_12, bathroom_2
32283, the Ville, house_13, bathroom_1
32284, the Ville, house_13, bathroom_2
32285, the Ville, single_home_1, bathroom
32286, the Ville, single_home_2, bathroom
32287, the Ville, single_home_3, bathroom
32288, the Ville, single_home_4, bathroom
32289, the Ville, single_home_5, bathroom
32290, the Ville, government_building, meeting room
32291, the Ville, government_building, bedroom_1
32292, the Ville, government_building, bathroom_1
32293, the Ville, government_building, bedroom_2
32294, the Ville, government_building, bathroom_2
32295, the Ville, government_building, bedroom_3
32296, the Ville, government_building, bathroom_3
32297, the Ville, government_building, computer_room
32298, the Ville, universal_school, classroom_1
32299, the Ville, universal_school, classroom_2
32300, the Ville, universal_school, classroom_3
32301, the Ville, universal_school, classroom_4
32302, the Ville, universal_school, classroom_5
32303, the Ville, universal_school, bathroom_1
32304, the Ville, universal_school, bathroom_2
32305, the Ville, house_1, common room
32306, the Ville, house_1, kitchen
32307, the Ville, house_2, common room
32308, the Ville, house_2, kitchen
32309, the Ville, house_3, common room
32310, the Ville, house_3, kitchen
32311, the Ville, house_4, common room
32312, the Ville, house_4, kitchen
32313, the Ville, house_5, common room
32314, the Ville, house_5, kitchen
32315, the Ville, house_6, common room
32316, the Ville, house_6, kitchen
32317, the Ville, house_7, common room
32318, the Ville, house_7, kitchen
32319, the Ville, house_8, common room
32320, the Ville, house_8, kitchen
32321, the Ville, house_9, common room
32322, the Ville, house_9, kitchen
32323, the Ville, house_10, common room
32324, the Ville, house_10, kitchen
32325, the Ville, house_11, common room
32326, the Ville, house_11, kitchen
32327, the Ville, house_12, common room
32328, the Ville, house_12, kitchen
32329, the Ville, house_13, common room
32330, the Ville, house_13, kitchen
32331, the Ville, universal_school, main room
32332, the Ville, universal_school, gym
32333, the Ville, universal_school, storage_closet
32334, the Ville, government_building, main room
